year,SavingsAUS,SavingsAUT,SavingsBEL,SavingsCAN,SavingsCHE,SavingsDEU,SavingsDNK,SavingsESP,SavingsFIN,SavingsFRA,SavingsGBR,SavingsGRC,SavingsIRL,SavingsITA,SavingsJPN,SavingsNLD,SavingsNOR,SavingsUSA,DeficitAUS,DeficitAUT,DeficitBEL,DeficitCAN,DeficitCHE,DeficitDEU,DeficitDNK,DeficitESP,DeficitFIN,DeficitFRA,DeficitGBR,DeficitGRC,DeficitIRL,DeficitITA,DeficitJPN,DeficitNLD,DeficitNOR,DeficitUSA
1970,13.95544972,14.79584992,17.15018137,6.619496304,,16.53954909,9.230421849,13.6743604,17.9220857,,10.96069419,-0.074350001,7.060761313,14.26797032,22.05674508,17.50772593,,8.515209591,,,,,,,,,,,,,,,,,,
1971,13.86116356,14.57874064,15.93646546,6.644864531,,15.07762421,9.286527865,13.63147571,16.92484586,,9.887914739,-0.082510688,6.858934701,12.91322203,20.07292703,16.54323588,,8.344422029,,,,,,,,,,,,,,,,,,
1972,14.93125352,15.10768034,15.69360443,6.914425809,,13.94110683,11.74030662,14.78779449,16.09161962,,8.527419898,-0.092446335,8.532586661,12.15902094,19.99717117,17.00246064,,9.117433215,,,,,,,,,,,,,,,,,,
1973,15.82160871,15.14945802,15.47044639,8.289277971,,13.79094705,11.94400126,15.66048407,17.55712082,,8.937902579,-0.106452656,8.980020963,12.10366358,21.03395623,17.7673284,,10.98657477,,,,,,,,,,,,,,,,,,
1974,12.33856575,14.77722541,15.85010604,8.794855936,,12.27826642,9.08222495,14.44987779,18.59028404,,5.668093607,-0.083427785,6.119366484,12.26290106,18.94248032,17.24437022,,9.209490028,,,,,,,,,,,,,,,,,,
1975,10.85253622,11.21968044,12.34517253,6.758856682,,8.876773323,6.322884047,12.95887906,13.29220966,,4.581517687,-0.077080424,8.054631752,9.368914661,15.95194848,13.22577415,,6.506720858,-4.301126943,,,,,,,,4.964857797,,,,,,,,,-7.261232687
1976,9.946499573,10.83597286,13.33340008,7.127725761,,9.668803109,6.694181674,10.56791332,11.18202352,,5.558146654,-0.08233428,6.774310846,11.20363234,16.51978397,13.85819506,,7.424047673,-4.176988571,,,,,,,,7.646863851,,,,,,,,,-5.245706764
1977,7.474266108,9.63667429,11.19216119,6.22049197,,9.423619762,6.739269716,10.80839338,8.963383161,,6.445443326,-0.06905719,7.998652778,11.18052396,16.09241248,11.89079893,,8.146117879,-5.07624857,,,,,,,,6.276497614,,,,,,,,,-3.969544045
1978,9.428520833,10.5746071,10.92939647,5.916736555,,9.938835274,7.219535596,11.47726142,9.323079234,10.42131865,6.568992672,-0.066708497,7.290707312,11.92184572,16.44286999,9.957228812,9.405956833,9.389185826,-4.766121076,,,,,,,,3.868496469,-1.796824577,,,,,,,,-3.123121757
1979,10.36496459,11.346221,8.86661318,6.944142649,,9.354768959,5.099950099,10.14180141,11.89067879,10.28731574,6.125678658,-0.067747498,5.568697562,12.36767765,15.6355021,9.924477563,9.871147335,9.121299386,-3.155686485,,,,,,,,3.437295447,-0.482157656,,,,,,,,-2.621482461
1980,10.3231828,10.10526385,5.846140629,6.698987214,,7.818235321,2.557040045,7.817716417,12.27396604,8.941660579,4.151857238,-0.062057446,2.919875773,9.953906336,15.03625276,9.636695771,14.67391817,7.059024459,-3.330419408,,,,,,,,3.746808384,-0.428536645,,,,,,,,-4.048493914
1981,8.835805597,7.854510463,2.409173158,6.826566763,,6.303975778,-0.214175849,5.278382191,10.90119179,6.187907487,2.963649714,-0.050552095,1.970625355,7.224686524,14.79502514,9.475204956,15.41862893,8.00214029,-3.729180309,,,-2.892318551,,,,,5.134666877,-2.40752179,,,,,,,,-3.615724396
1982,5.216301802,7.234229172,1.642782458,3.210914637,,6.310235993,-0.180827222,5.154399276,9.618983672,4.838793902,3.171281089,-0.051116918,4.073052721,6.682913805,13.60428877,8.590224753,13.23638162,5.648233187,-5.697912316,,,-6.898417213,,,,,3.081879947,-2.836913321,,,,,,,,-6.21298174
1983,7.695732456,6.337068669,1.383414454,3.956697072,,6.691936733,1.309156079,4.726031206,8.895332309,4.370586553,3.739008389,-0.042698715,3.846987048,7.214191611,12.49288158,9.100406393,13.88880858,4.239333766,-6.084507306,,,-7.998129648,,,,,1.537978657,-2.540767887,,,,,,,,-6.943708349
1984,8.637588148,7.39171933,3.134554182,5.332698385,,7.143195532,3.185827688,6.043207349,9.930245539,4.271340679,3.971479301,-0.047076868,4.205648489,7.40109658,13.23594238,11.84438118,16.71319642,7.013921344,-5.792154843,,,-7.94017057,,,,,3.243111892,-2.735951798,,,,,,,,-5.831846688
1985,6.514705543,7.453132246,3.335575253,5.191592336,,7.872159477,3.513603763,6.695722711,8.780836141,4.231576544,4.06973293,-0.045347533,3.686313185,6.960384408,13.97119201,9.986164171,16.01150067,5.550038385,-5.202465398,,,-8.757449702,,,,,3.362786309,-2.972459677,,,,,,,,-5.987675903
1986,5.388056254,7.761098956,4.649246989,3.54561716,,9.329319794,4.53991592,8.389640556,8.49184923,5.756658515,3.327181178,-0.043483379,3.582356224,7.206720387,13.79632681,10.33680355,9.45828672,3.913153702,-3.525652244,,,-7.3217602,,,,,3.825310807,-3.197413196,,,,,,,,-6.181642145
1987,7.99093525,7.809150339,5.637012938,5.216366286,,8.544323176,4.515353414,8.494259729,7.718567839,5.41550942,3.688139663,-0.031821414,4.389265953,7.067887108,13.66339867,9.596478121,8.646583973,4.5005422,-1.787015425,,,-5.745855584,,,,,1.645732166,-2.01429234,,,,,,,,-5.173812076
1988,9.039088391,9.153572821,8.559058108,6.259202246,,9.673547783,4.414749964,9.448939464,10.05175514,6.897725394,3.674004839,-0.040796513,4.959898933,7.200353697,14.6333502,10.62828395,7.328440378,5.578964174,-1.036389262,,,-4.511034719,,,,,5.177580322,-2.564376929,,,,,,,,-4.517145052
1989,7.669888969,9.900773863,9.710739963,5.267679919,,10.61012465,4.35215064,9.251055493,9.272342323,7.792173668,3.708737479,-0.033400839,5.239700205,6.508522395,14.39696017,11.88677007,8.413640308,4.813084278,-2.089626893,,,-4.718367639,,,,,6.71717348,-1.782231043,,,,,,,,-4.301633585
1990,3.730520444,10.34930785,10.01587764,2.418880583,12.73013012,10.34971655,5.259347415,9.338958779,6.255227732,7.651975329,2.750584317,-0.034419562,7.800509095,6.526886528,14.38612776,10.68766078,8.58453578,3.770510992,-3.316741983,,,-5.911541122,,,,,5.31150423,-2.43397061,-1.740696766,,,,,,,-5.240790764
1991,0.992109991,10.00568249,8.952768122,-0.207193047,10.65512153,8.148315714,4.041134261,8.907630018,-2.928786176,6.394825525,1.826767835,-0.039556384,7.062078688,5.759945533,14.54452154,10.23628525,7.626122187,3.588054099,-5.801630081,,,-8.359541211,,,,,-0.911892551,-2.863044504,-2.967130991,,,,,,,-6.12652317
1992,2.843816745,8.839745986,9.231385674,-1.458750625,8.018357389,7.726316596,4.564702253,7.370120493,-5.873118631,5.954021413,1.288007109,-0.037015375,5.271561338,4.58004087,13.28432586,9.332199196,6.733916047,2.873598211,-6.180886502,,,-9.199315723,,,,,-5.309244331,-4.601218586,-6.100540042,,,,,,,-7.146331771
1993,4.338780427,7.761220839,9.977884953,-0.421271042,9.388326811,6.307625463,3.25876421,6.806861939,-4.538237948,4.450262188,1.411963051,-0.031841124,7.182379455,4.862933587,11.80426861,9.358702575,6.789338321,2.331306037,-4.421871679,,,-8.93490847,,,,,-8.068992863,-6.358794486,-7.439659533,,,,,,,-6.328036254
1994,3.597085936,7.83837569,11.18275689,1.776354584,9.589412425,6.215391933,3.738615052,6.295919366,-0.151739638,5.043945631,3.034077218,-0.034635239,7.153355975,5.128145467,10.11443407,10.74284362,8.067602645,3.286541015,-4.152521296,,,-6.936091389,,,,,-6.470341971,-5.422899361,-6.430522977,,,,,,,-4.994490366
1995,4.344966537,8.255649847,10.69149846,3.848873368,10.63581521,6.333417594,4.953964513,8.552153721,5.467957303,5.694747401,3.303479931,-0.029325221,9.6864597,7.131206475,9.937825547,12.06110206,10.03640237,3.978141167,-2.905047204,-6.133971278,-4.445887311,-5.489818349,-1.871825466,-9.426662032,-3.618293788,-7.037752239,-5.928609116,-5.108542995,-5.189501687,-9.730979547,-2.120591776,-7.253330361,,-8.731683189,3.154007168,-4.643077934
1996,5.743114871,7.778860275,9.381020124,4.222701659,10.2683431,5.70990282,5.098416947,8.258689931,4.979423868,5.505713642,3.388326976,-0.026897646,10.31839699,7.461428389,10.67488844,12.55480595,12.64221448,4.999280328,-1.128777524,-4.503610369,-3.931326131,-3.052668919,-2.051205118,-3.542350181,-2.482573914,-5.372219217,-3.247109543,-3.905879422,-3.753353877,-8.15826266,-0.23980856,-6.651063604,,-1.822850925,6.162098199,-3.499335201
1997,5.297255385,7.908490166,10.75330344,4.915993768,12.46966485,5.836591107,6.237692267,8.882500293,8.691686684,6.963979093,4.406159342,-0.02896404,12.66146876,7.380289304,10.31200476,12.92115346,14.76232866,6.309434207,0.173440776,-2.575791199,-2.124940313,0.038703403,-2.365400053,-2.945111815,-1.200213938,-3.913143351,-1.20916036,-3.65283417,-2.094308148,-6.056026225,1.336933554,-3.011939414,,-1.582729524,7.486743466,-2.073761838
1998,4.163246745,8.294108057,10.50498615,4.025257938,13.26901804,6.212919241,5.415147539,9.340800537,10.43345351,8.298774462,5.178413948,-0.028256888,14.06397213,6.598752355,9.123301285,11.97022534,10.80690032,6.850331415,0.724190144,-2.696226841,-0.947973812,0.142684597,-1.322009253,-2.531822438,-0.388536815,-2.948873912,1.635626589,-2.378437395,-0.328377241,-6.268433569,2.042111643,-3.021243074,,-1.353808697,3.252171611,-0.910456429
1999,4.839683041,7.568239443,10.91550449,5.697509907,13.32395565,5.637518887,6.521838938,9.151360556,11.86467386,9.118904439,3.308125428,-0.024882602,12.94783254,6.161636124,7.474793698,13.21750159,13.17435951,6.348161077,2.001485271,-2.595886654,-0.550883198,1.655597601,-1.604875992,-1.698210065,0.868853608,-1.322697016,1.68369799,-1.602927625,0.638893361,-5.793462652,3.515552698,-1.804503348,,0.253421669,5.872476991,-0.48222952
2000,3.920767701,8.647724545,11.01587007,8.821500481,15.77418509,5.451929619,7.790644745,8.838839458,13.72733211,8.563166135,3.93402984,-0.021949643,13.43524742,5.716398485,7.800233907,13.60686892,21.42303861,6.009082603,-1.234068867,-2.404669559,-0.071914864,2.6397326,0.424523091,0.858926142,1.887314306,-1.099574468,6.855226367,-1.318422681,1.379090661,-4.0630872,4.852648606,-2.438458949,,1.165468676,15.10213637,0.335520247
2001,5.174788831,7.843688346,9.690641127,7.254749317,12.65085315,5.201000069,8.359593621,8.784780595,14.23596447,8.497070602,3.479148571,0.034173884,11.8779639,6.037384838,5.779619698,11.53459049,20.99144502,4.511349747,-0.75796848,-0.661575545,0.171903665,0.529473593,0.279929655,-3.111590247,1.14055439,-0.545081827,4.982795267,-1.379274477,0.227191633,-5.466055745,0.953552729,-3.393204445,,-0.475636101,13.18566904,-1.847447443
2002,4.612839592,9.308037807,9.612088193,6.313128986,9.360807958,4.874959829,7.345680369,9.260124278,13.06907458,7.180447013,3.230889399,-0.308660845,11.00589535,5.788827148,4.863347121,10.04016866,17.09827257,3.159873736,0.712769676,-1.381174923,0.045298368,-0.233897161,-1.784525299,-3.94420832,-0.015387114,-0.411056897,4.071104397,-3.16028993,-1.874964073,-6.024075591,-0.525620911,-2.995183067,,-2.129158294,9.050488373,-5.299643814
2003,5.415434144,8.791418844,8.942794013,7.056128804,13.23071496,4.058727613,7.049098974,9.835190274,10.03767261,6.584201792,3.512489945,-0.0435085,12.54333908,5.110283268,5.379794789,10.45006923,16.28765637,2.379474136,0.810532392,-1.786425452,-1.761025204,-0.126958674,-1.386497066,-4.175615293,-0.133147637,-0.35931557,2.441792187,-4.01553721,-3.138242932,-7.830423452,0.340309316,-3.339086751,,-3.142294417,7.245558044,-6.413367282
2004,4.603353748,9.393960576,9.685655825,9.146282575,13.40929916,6.609472303,7.572172927,8.629588354,11.54804798,6.848058619,2.732672483,-0.046409587,12.8746732,5.408224059,6.170121855,10.72369192,19.42186813,2.804163839,0.942353999,-4.804986015,-0.15687414,0.767674136,-1.423188019,-3.740784455,2.073172594,-0.039237538,2.209784385,-3.590570293,-3.064849557,-8.827879771,1.293596065,-3.496430832,,-1.825289163,10.92312432,-5.776707853
2005,5.375289785,8.900599166,9.408027718,10.03923825,16.72130177,6.361490921,9.500978572,7.680594391,10.34449196,6.420618889,3.352143974,-0.57151906,12.39954051,4.655152912,6.63759261,9.571179361,24.95532801,3.02816593,1.66373955,-2.508353536,-2.76119748,1.553139764,-0.672992751,-3.416939753,4.955031072,1.209586424,2.593270757,-3.355559897,-3.146419846,-6.187942655,1.565642603,-4.105185821,-4.410027382,-0.39645442,14.81928583,-4.448616618
2006,5.028469721,10.21389197,9.59468515,9.921674333,18.51548796,8.71262927,11.01601417,7.301279596,10.78533607,6.81024873,2.57090856,-0.450345473,11.93726619,4.765183567,6.381703451,12.6417767,26.82976484,3.863895098,1.655265587,-2.535440659,0.219339801,1.827643441,0.855060917,-1.721508409,4.987100686,2.199957539,3.931314957,-2.443685608,-2.765328105,-5.94597758,2.769115442,-3.523147379,-2.970792004,0.099393375,18.02075735,-3.333665832
2007,5.754714337,11.89324651,10.44070058,9.437636198,14.17265256,10.75500452,9.617706006,6.554546741,12.23791965,7.096542115,2.639671165,-2.875346901,9.133250383,5.055292446,6.728868536,12.99061647,25.41673295,1.963823342,0.720199301,-1.354608599,0.065474852,1.819654654,1.605566566,0.187249078,5.020458983,1.923747718,5.132808815,-2.636296205,-2.636946444,-6.707074634,0.262766032,-1.464818631,-2.756333505,-0.091897217,17.11308169,-3.985502212
2008,7.639041539,12.08720355,8.384032464,8.751679197,6.968662955,9.238681521,8.734977546,4.76911017,9.852305754,6.288158885,1.011459707,-6.365108865,4.003362087,2.718988956,3.76182243,10.73689968,27.64922817,-0.799736557,-3.745362637,-1.495265332,-1.10324095,0.184485366,1.928669274,-0.17687197,3.173907975,-4.420524536,4.180454388,-3.26373483,-5.154526281,-10.17602394,-7.017945556,-2.63100689,-4.119426397,0.201329423,18.67136971,-7.371000646
2009,5.204075281,7.338322802,3.131792405,1.450105452,12.25987568,5.62001073,4.355503579,3.855050544,3.662396633,3.085302171,-1.426607764,-10.03790981,-0.153917046,0.307004045,-0.532481037,9.282986739,19.08174488,-2.513604466,-5.559436556,-5.329709674,-5.383061181,-3.881351769,0.50332034,-3.234997643,-2.798141618,-10.95350363,-2.528324191,-7.174779051,-10.08006047,-15.14139977,-13.82437043,-5.248212783,-9.776445809,-5.086245803,10.33235467,-13.12636809
2010,7.28924159,8.327401082,7.141786987,3.154232744,17.64485362,7.549863181,6.930542717,2.825794335,4.18546232,3.391803393,0.166554748,-11.06458318,1.58499181,-0.335341314,1.531615922,10.08327766,20.36719963,-0.524998179,-4.461458314,-4.441277197,-4.001391398,-4.737561425,0.355736083,-4.220987109,-2.710270878,-9.381137626,-2.609834313,-6.886721673,-9.275852207,-11.19711452,-32.05951373,-4.21143592,-9.146026442,-5.246195558,10.99382012,-12.42701133
2011,8.506073528,8.768393092,4.791321062,5.052188113,13.9433868,9.672970493,8.162745945,1.252745343,3.463724609,4.203834687,1.489772861,-13.02741891,1.103642712,-0.240152006,0.508863807,11.75827505,22.59615023,0.530098538,-4.615200959,-2.55356277,-4.193731415,-3.308732553,0.735030182,-0.956783273,-2.055766184,-9.642122138,-1.044349288,-5.154760881,-7.472700672,-10.27875911,-12.84187578,-3.678312345,-9.088060137,-4.426939583,13.43011101,-10.99629071
2012,7.65061931,8.188875273,5.007663224,4.787045986,14.18298802,8.601038336,8.20331588,1.621442276,1.427977957,3.441731728,-0.178940603,-10.7959309,1.594824002,-0.781291356,0.369304659,11.93446519,23.44678259,2.841092802,-2.885816442,-2.189058043,-4.234682778,-2.524515626,0.382196041,-0.033680654,-3.490444865,-10.46791977,-2.183259674,-4.980984334,-8.07197992,-8.865404574,-8.094501716,-2.918181452,-8.302515854,-3.918427606,13.83137854,-9.219373061
2013,6.777977267,7.55039514,3.607026358,5.328382697,13.20799993,8.31284675,10.14972972,2.335884129,0.336385722,3.285895591,-0.916968661,-9.960523572,6.0655154,-0.490296922,1.070143306,11.44515287,22.3685002,3.20004628,-2.844175586,-1.950077521,-3.130296748,-1.868159077,-0.42922264,-0.140363168,-1.235647209,-6.989128326,-2.613874436,-4.084094523,-5.339152365,-13.15496123,-6.17485941,-2.922412209,-7.64182524,-2.928703046,10.7729449,-5.823181868
2014,4.917347537,8.003936532,3.579824968,5.91621,11.01696676,9.534572703,12.14679242,2.631766588,0.441418379,3.452039176,0.059263838,-8.0944247,9.453761947,0.655421243,1.585791125,10.39832629,21.97278706,4.264021218,-2.32985634,-2.729145206,-3.098579158,0.174595918,-0.214292856,0.568061553,1.144427647,-5.968472375,-3.210625189,-3.904659346,-5.344969216,-3.557105804,-3.653662666,-3.042247657,-5.383010687,-2.152004289,8.748246159,-5.168474156
2015,2.475190049,7.755625271,3.635247348,2.365407832,13.7001134,10.55102563,12.25709061,3.986440553,1.251238378,4.437487719,0.064773433,-7.468742035,8.621274242,0.538797813,4.527461615,12.0000058,17.66797643,4.099100236,-2.429772062,-1.021549184,-2.388551571,-0.059685326,0.644890948,0.782456394,-1.329629986,-5.272460725,-2.75443911,-3.62517467,-4.196347897,-5.614968021,-1.934917577,-2.611245157,-3.55597514,-2.024614207,6.058947133,-4.628025688
2016,4.229781379,8.970305464,4.73061179,1.694734751,11.71515858,10.87250574,12.81677694,5.156590924,2.681963966,3.93147128,-0.16679157,-6.695233982,11.38918749,2.294540733,4.855459019,11.90309133,14.48198568,2.629692483,-1.844759344,-1.550316462,-2.408145741,-0.418691633,0.374005116,0.909755519,-0.073040106,-4.468944163,-1.718863532,-3.541559149,-2.892424769,0.48615218,-0.665929,-2.524286553,-3.4572519,0.020894009,4.014078818,-5.301164197
2017,4.087731879,9.466201289,6.530297183,3.472459594,,10.81044384,13.19876753,5.636279611,3.729043668,4.801807184,1.164308272,-4.914284613,9.526899218,2.567736195,5.825669451,14.96045498,15.98080642,2.898799678,-0.840732272,-0.758971695,-0.829761291,-0.335044277,1.274806575,1.037670794,1.449771747,-3.078317339,-0.79493386,-2.771296474,-1.832917079,0.730783253,-0.279206967,-2.390033701,-2.958897817,1.213716528,4.949221335,-4.141657561
2018,,,,2.97486189,,,12.53925236,,4.21506618,,,,,2.842699254,,15.41123897,18.33798505,,,0.110372137,-0.687205511,-0.431849327,,1.713290018,0.559260317,-2.481444207,-0.79536054,-2.531267397,-1.525222361,1.077884857,0.014214374,-2.134626916,,1.466075999,7.254472493,